Name;ISIN;Symbol;Market;"Trading Currency";Open;High;Low;Last;"Last Date/Time";"Time Zone";Volume;Turnover
"SKANDIA GREENPOWER";NO0010931207;SKAND;"Euronext Growth Oslo";NOK;5.06;5.14;5.06;5.14;"13/05/2022 15:42";CET;4877;24924.54
"SKUE SPAREBANK";NO0006001809;SKUE;"Oslo Børs";NOK;224.00;224.00;224.00;224.00;"13/05/2022 16:12";CET;30;6720.00
SMARTCRAFT;NO0011008971;SMCRT;"Oslo Børs";NOK;14.50;15.02;14.50;15.00;"13/05/2022 15:00";CET;47701;705691.52
"SMARTOPTICS GROUP";NO0011012502;SMOP;"Euronext Growth Oslo";NOK;12.90;13.15;12.70;12.90;"13/05/2022 16:16";CET;18194;234983.60
"SOFTOX SOLUTIONS";NO0010811961;SOFTX;"Euronext Growth Oslo";NOK;35.00;35.90;34.15;35.50;"13/05/2022 16:25";CET;7311;258550.75
"SOGN SPAREBANK";NO0006000603;SOGN;"Oslo Børs";NOK;128.00;130.00;125.00;130.00;"12/05/2022 16:09";CET;2511;322035.00
"SOLSTAD OFFSHORE";NO0003080608;SOFF;"Oslo Børs";NOK;30.35;37.85;27.65;37.65;"13/05/2022 16:29";CET;7668795;246825212.55
"SPARBNK 68 GR NORD";NO0010887110;SB68;"Euronext Growth Oslo";NOK;210.00;210.00;210.00;210.00;"13/05/2022 13:45";CET;18;3780.00
"SPAREBANK 1 SMN";NO0006390301;MING;"Oslo Børs";NOK;124.40;125.40;124.00;125.40;"13/05/2022 16:30";CET;107335;13396362.60
"SPAREBANK 1 SR-BK";NO0010631567;SRBNK;"Oslo Børs";NOK;115.50;116.80;114.70;116.80;"13/05/2022 16:25";CET;183719;21330603.30
"SPAREBANK 1 SØRØ";NO0006000207;SOON;"Oslo Børs";NOK;53.80;54.80;53.80;54.60;"13/05/2022 16:25";CET;16955;919766.60
"SPAREBANKEN MØRE";NO0012483207;MORG;"Oslo Børs";NOK;80.00;80.50;79.57;80.00;"13/05/2022 16:25";CET;9090;727188.71
"SPAREBANKEN SØR";NO0006001502;SOR;"Oslo Børs";NOK;131.50;140.00;131.50;135.00;"13/05/2022 16:19";CET;3392;457802.00
"SPAREBANKEN VEST";NO0006000900;SVEG;"Oslo Børs";NOK;96.50;97.50;95.90;96.50;"13/05/2022 16:25";CET;35868;3468268.20
